split,y_true,y_pred,score,id,task,group_id,correct,fp,fn,confidence
val,0,1,0.9998737543060544,qa_111_gt,qa,qa_111,0,1,0,0.9998737543060544
val,0,1,0.9766490057832484,general_752,general,general_752,0,1,0,0.9766490057832484
val,0,1,0.9648337511205032,dialogue_6611_gt,dialogue,dialogue_6611,0,1,0,0.9648337511205032
val,0,1,0.9575112191793668,dialogue_8486_gt,dialogue,dialogue_8486,0,1,0,0.9575112191793668
val,0,1,0.9404195494186396,dialogue_2729_gt,dialogue,dialogue_2729,0,1,0,0.9404195494186396
val,0,1,0.9364877807485202,summarization_3531_gt,summarization,summarization_3531,0,1,0,0.9364877807485202
val,0,1,0.9346170997768354,dialogue_173_gt,dialogue,dialogue_173,0,1,0,0.9346170997768354
val,0,1,0.934251192917854,summarization_5244_gt,summarization,summarization_5244,0,1,0,0.934251192917854
val,0,1,0.9328479870376164,qa_533_gt,qa,qa_533,0,1,0,0.9328479870376164
val,0,1,0.9323687962993898,dialogue_3719_gt,dialogue,dialogue_3719,0,1,0,0.9323687962993898
val,0,1,0.927998488923474,dialogue_7844_gt,dialogue,dialogue_7844,0,1,0,0.927998488923474
val,0,1,0.9275190000580864,dialogue_3440_gt,dialogue,dialogue_3440,0,1,0,0.9275190000580864
val,0,1,0.9262682496208516,dialogue_4325_gt,dialogue,dialogue_4325,0,1,0,0.9262682496208516
val,0,1,0.924729729415461,dialogue_8505_gt,dialogue,dialogue_8505,0,1,0,0.924729729415461
val,0,1,0.9205025335562926,dialogue_3352_gt,dialogue,dialogue_3352,0,1,0,0.9205025335562926
val,0,1,0.9162399549555588,summarization_661_gt,summarization,summarization_661,0,1,0,0.9162399549555588
val,0,1,0.9158301620358772,summarization_7576_gt,summarization,summarization_7576,0,1,0,0.9158301620358772
val,0,1,0.9120827596269075,summarization_8269_gt,summarization,summarization_8269,0,1,0,0.9120827596269075
val,0,1,0.9072983410950612,dialogue_8867_gt,dialogue,dialogue_8867,0,1,0,0.9072983410950612
val,0,1,0.902697974103517,dialogue_5701_gt,dialogue,dialogue_5701,0,1,0,0.902697974103517
val,0,1,0.9009273700089028,general_1880,general,general_1880,0,1,0,0.9009273700089028
val,0,1,0.8976166522677711,general_560,general,general_560,0,1,0,0.8976166522677711
val,0,1,0.8950072343677393,summarization_8650_gt,summarization,summarization_8650,0,1,0,0.8950072343677393
val,0,1,0.8862496151122585,qa_6814_gt,qa,qa_6814,0,1,0,0.8862496151122585
val,0,1,0.8833789900995336,dialogue_5772_gt,dialogue,dialogue_5772,0,1,0,0.8833789900995336
val,0,1,0.8818320593073204,qa_3260_gt,qa,qa_3260,0,1,0,0.8818320593073204
val,0,1,0.8809848097151703,summarization_9400_gt,summarization,summarization_9400,0,1,0,0.8809848097151703
val,0,1,0.8794606066657074,summarization_7324_gt,summarization,summarization_7324,0,1,0,0.8794606066657074
val,0,1,0.8768832052393735,dialogue_4277_gt,dialogue,dialogue_4277,0,1,0,0.8768832052393735
val,0,1,0.8752018391546382,summarization_6798_gt,summarization,summarization_6798,0,1,0,0.8752018391546382
val,0,1,0.8731033149102077,dialogue_9717_gt,dialogue,dialogue_9717,0,1,0,0.8731033149102077
val,0,1,0.8729248596246377,general_2845,general,general_2845,0,1,0,0.8729248596246377
val,0,1,0.8726403763427918,dialogue_5507_gt,dialogue,dialogue_5507,0,1,0,0.8726403763427918
val,0,1,0.8717708075265753,dialogue_5669_gt,dialogue,dialogue_5669,0,1,0,0.8717708075265753
val,0,1,0.8705439104570181,dialogue_6831_gt,dialogue,dialogue_6831,0,1,0,0.8705439104570181
val,0,1,0.8660872782398682,dialogue_4534_gt,dialogue,dialogue_4534,0,1,0,0.8660872782398682
val,0,1,0.8635964166622461,dialogue_8011_gt,dialogue,dialogue_8011,0,1,0,0.8635964166622461
val,0,1,0.8598690020111858,summarization_6685_gt,summarization,summarization_6685,0,1,0,0.8598690020111858
val,0,1,0.8595222039435544,summarization_4189_gt,summarization,summarization_4189,0,1,0,0.8595222039435544
val,0,1,0.8593463540861285,dialogue_3772_gt,dialogue,dialogue_3772,0,1,0,0.8593463540861285
val,0,1,0.8526963863743435,dialogue_3793_gt,dialogue,dialogue_3793,0,1,0,0.8526963863743435
val,0,1,0.8513638147422011,dialogue_7748_gt,dialogue,dialogue_7748,0,1,0,0.8513638147422011
val,0,1,0.8502542234959031,dialogue_8018_gt,dialogue,dialogue_8018,0,1,0,0.8502542234959031
val,0,1,0.849380325818019,summarization_7665_gt,summarization,summarization_7665,0,1,0,0.849380325818019
val,0,1,0.845241401609011,general_2381,general,general_2381,0,1,0,0.845241401609011
val,0,1,0.83982602687748,summarization_5852_gt,summarization,summarization_5852,0,1,0,0.83982602687748
val,0,1,0.8396387270759275,dialogue_2067_gt,dialogue,dialogue_2067,0,1,0,0.8396387270759275
val,0,1,0.8395999723214774,dialogue_9291_gt,dialogue,dialogue_9291,0,1,0,0.8395999723214774
val,0,1,0.8375915996428472,summarization_6564_gt,summarization,summarization_6564,0,1,0,0.8375915996428472
val,0,1,0.8373993437850774,qa_4114_gt,qa,qa_4114,0,1,0,0.8373993437850774
