feature_name,f1_before,f1_after,delta_f1
resp_numbers_per_word,0.8158563442317466,0.8165122156697557,0.000655871438009159
resp_has_ellipsis,0.8165122156697557,0.8175994605529332,0.0010872448831774628
resp_n_uncertainty,0.8175994605529332,0.8181971356360573,0.0005976750831241384
resp_punct_per_word,0.8181971356360573,0.8169912693082606,-0.001205866327796734
resp_n_punct,0.8169912693082606,0.8206412825651302,0.003650013256869644
resp_has_multi_q,0.8206412825651302,0.8214285714285714,0.000787288863441149
resp_n_words,0.8214285714285714,0.8214405360134003,1.1964584828882963e-05
resp_has_multi_excl,0.8214405360134003,0.8213029643275833,-0.00013757168581696178
resp_n_numbers,0.8213029643275833,0.82095046854083,-0.00035249578675333737
resp_n_chars,0.82095046854083,0.820598562113359,-0.00035190642747096046
